Rm,Grade,Occ,area,celing,vol,Vol m3,ls,ppm
217,4,26,968.7,11,10655.7,301.7358585,0.003,505440
215,4,26,968.7,11,10655.7,301.7358585,0.003,505440
213,4,26,1056,11,11616,328.9285296,0.003,505440
211,3,26,957,11,10527,298.09148,0.003,505440
209,cares,26,979,11,10769,304.9441577,0.003,505440
205-207,therapist,5,633,11,6963,197.1702266,0.0053,171720
203-204A,guidance,3,276,11,3036,85.9699566,0.0053,103032
206,resource,18,405,11,4455,126.1515668,0.003,349920
208,3,26,952,11,10472,296.5340532,0.0030,505440
210,therapy,19,362,11,3982,112.7576967,0.0053,652536
212,3,26,975,11,10725,303.6982163,0.0030,505440
219,therapy,19,348,11,3828,108.3969018,0.0053,652536
221,4,26,960,11,10560,299.025936,0.0030,505440
223,5,26,956,11,10516,297.7799946,0.0030,505440
222,LC,26,944,11,10384,294.0421704,0.0030,505440
224,5,26,980,11,10780,305.255643,0.0030,505440
227,5,26,980,11,10780,305.255643,0.0030,505440
225,Therapy,19,353,11,3883,109.9543286,0.0053,652536
119,cares,48,956,11,10516,297.7799946,0.0030,933120
121,2,48,949,11,10439,295.5995972,0.0030,933120
123,lc,48,993,11,10923,309.3049526,0.0030,933120
127,1,48,1013,11,11143,315.5346596,0.0030,933120
125,1,48,982,11,10802,305.8786137,0.0030,933120
120,2,48,955,11,10505,297.4685093,0.0030,933120
120b,2,48,936,11,10296,291.5502876,0.0030,933120
118,therapy,19,362,11,3982,112.7576967,0.0053,652536
131,1,49,1040,11,11440,323.944764,0.0030,952560
133,k,49,1166,11,12826,363.1919181,0.0030,952560
135,k,49,1156,11,12716,360.0770646,0.0030,952560
136,k,49,1133,11,12463,352.9129016,0.0030,952560
132,ell,49,1064,11,11704,331.4204124,0.0030,952560
134,art,51,1171,11,12881,364.7493449,0.0040,1321920
137-138,therapy,31,637,11,7007,198.416168,0.0053,1064664
101,media,118,2335,18,42030,1190.157206,0.0030,2293920
102-103,specia,43,867.14,11,9538.54,270.1014064,0.0030,835920
offices,office,20,1939,11,21329,603.9700937,0.0053,686880
108,cafeteria,202,3252,21,68292,1933.81432,0.0030,3926880
106,music suite,116,2223,21,46683,1321.915509,0.0030,2255040
115,Gym,250,5849,25,146225,4140.631391,0.0060,9720000
,,,,,,,,
