,T Crawl [F],Crawl Water Content [lb],Crawl Dry Bulb F,Crawl DP F,DB C,DP C,RH_crawl [%],Incoming Water [lb/hr],Outgoing Water [lb/hr],Condensation per SF [lb],Step
0,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.8617659963562246,0.04368716803420214,0.00434143896288342,0
1,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.22792831731849478,0.04368716803420214,5.257752329707974e-05,1
2,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.24094741916237267,0.00893850182585608,4.8371258418163775e-05,2
3,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.26407778761767364,0.009086164700521236,5.2877265257097485e-05,3
4,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3045105577788209,0.009086164700521236,6.0703972605364856e-05,4
5,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.24015426719557315,0.009233827575186261,4.8274892522411486e-05,5
6,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.26324112551914175,0.009381127641805443,5.277240672879888e-05,6
7,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.2821501445688519,0.009381127641805443,5.643268916195637e-05,7
8,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.19825100884345484,0.009526613668195391,4.022021341688676e-05,8
9,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.17152220033646548,0.009381127641805443,3.501806581074373e-05,9
10,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.15389065993653028,0.044174056431746433,3.834005349753678e-05,10
11,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.09544570197779528,0.044174056431746433,2.7026666358789875e-05,11
12,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.1251941089408274,0.044174056431746433,3.2785165577347e-05,12
13,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.12460239332196466,0.04441423535810578,3.2717117437101275e-05,13
14,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.14720053132324137,0.009673913734814571,3.03667141033785e-05,14
15,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.17289565107932642,0.009821576609479729,3.536918848021963e-05,15
16,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.21689966464475638,0.009821576609479729,4.388719342900582e-05,16
17,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.24191135564294847,0.009969602292190603,4.875744443189465e-05,17
18,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.27813472664965244,0.010114362702488857,5.5797345983763125e-05,18
19,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.24151350473654254,0.010114362702488857,4.87084528530872e-05,19
20,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.27649138420659275,-0.030818366647543272,4.755575252788143e-05,20
21,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.2615688740697152,0.009969602292190603,5.2562616407647834e-05,21
22,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.2611525544222697,0.010114362702488857,5.25100497725012e-05,22
23,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.2608463269666746,0.010114362702488857,5.245077229367432e-05,23
24,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.29984237399615177,0.010114362702488857,5.9999368311779634e-05,24
25,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.292695764147959,0.04477776902005779,6.532588717925241e-05,25
26,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.292695764147959,0.04477776902005779,6.532588717925241e-05,26
27,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.2941564311131929,0.04477776902005779,6.560863339784925e-05,27
28,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.30162377452027794,0.009969602292190603,6.0316178244769195e-05,28
29,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.30162377452027794,0.009969602292190603,6.0316178244769195e-05,29
30,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.2975019871894645,0.02434151741284807,6.230032996559918e-05,30
31,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.3145783293815428,0.04441423535810578,6.949139851715806e-05,31
32,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.31505556628798465,0.04429051781446751,6.955983044957113e-05,32
